company_id,Revenue CAGR (%),Net Profit CAGR (%),EPS CAGR (%),Asset CAGR (%)
JIOFIN,561.31,619.99,,12.02
ZOMATO,68.5,,,51.53
ADANIGREEN,46.72,,,41.37
VEDL,39.12,17.53,1.2,19.99
BAJFINANCE,27.72,32.86,29.99,29.07
DMART,26.71,32.37,28.88,25.62
BAJAJFINSV,25.78,18.23,14.91,20.31
VBL,21.69,47.18,12.25,
LTIM,20.78,19.09,-1.01,23.31
HDFCBANK,20.29,21.6,16.88,21.04
CHOLAFIN,19.82,23.43,22.57,21.13
SBILIFE,19.81,11.83,12.25,19.35
ATGL,19.66,22.43,0.0,13.6
INDIGO,19.3,18.57,-34.6,37.99
ADANIPOWER,19.12,,,6.06
TECHM,18.46,9.24,3.55,13.9
HDFCLIFE,17.84,12.03,12.25,18.96
TRENT,17.67,,,11.63
INDUSINDBK,17.63,18.48,14.73,17.64
LODHA,16.49,20.65,12.63,14.35
KOTAKBANK,15.96,21.22,18.33,17.07
ICICIGI,15.79,17.79,16.69,15.06
TVSMOTOR,15.63,21.72,21.65,24.06
SHRIRAMFIN,15.59,16.82,12.63,15.81
PFC,15.56,16.68,14.21,16.9
NAUKRI,15.51,17.95,13.35,40.82
IRCTC,15.45,24.79,1.44,19.32
APOLLOHOSP,15.14,12.34,11.59,12.39
TITAN,15.05,13.3,13.61,17.03
BAJAJHLDNG,14.62,12.32,12.22,17.22
GRASIM,14.19,7.19,1.36,21.32
IRFC,14.06,23.45,-27.1,17.59
SUNPHARMA,13.39,10.19,10.42,12.98
HCLTECH,13.37,12.77,13.35,13.26
JSWSTEEL,13.26,11.17,11.0,12.37
AXISBANK,13.22,14.53,11.92,13.27
MOTHERSON,12.98,20.23,16.1,18.52
UNIONBANK,12.82,18.43,-4.39,13.31
ONGC,12.4,4.84,4.71,9.56
ICICIBANK,12.3,14.68,13.7,11.01
DIVISLAB,12.28,9.74,9.59,14.29
TCS,12.25,10.96,11.64,9.89
INFY,12.16,9.39,10.15,9.79
ICICIPRULI,11.95,-3.61,-3.7,13.02
RECLTD,11.71,11.97,11.77,13.48
ABB,11.44,19.94,19.98,15.41
SHREECEM,11.41,4.65,4.35,13.4
TORNTPHARM,11.08,12.88,12.77,12.29
CANBK,11.02,15.32,3.44,11.42
PIDILITIND,11.02,13.67,13.87,14.11
POWERGRID,11.01,11.37,10.74,7.0
ULTRACEMCO,10.94,7.29,6.81,11.36
BEL,10.84,14.32,16.1,14.35
BANKBARODA,10.75,12.64,4.5,9.46
ZYDUSLIFE,10.68,16.78,17.84,12.85
AMBUJACEM,10.65,9.58,4.13,16.43
ASIANPAINT,10.51,12.23,12.25,13.02
MARUTI,10.4,15.57,15.16,13.19
CIPLA,10.35,10.26,10.36,9.5
LT,10.21,9.75,8.21,23.31
HAVELLS,9.27,7.6,7.73,9.22
SBIN,8.95,12.28,9.82,
HINDALCO,8.94,12.6,11.0,6.34
BRITANNIA,8.92,19.15,19.03,14.41
ADANIPORTS,8.65,7.39,7.15,7.42
PNB,8.62,9.26,-6.19,20.59
EICHERMOT,8.54,20.08,23.83,15.18
GAIL,8.53,8.44,9.59,6.61
DRREDDY,8.42,11.18,11.15,10.98
NTPC,8.29,4.98,4.87,8.81
JINDALSTEL,8.03,4.59,4.06,3.15
LICI,7.78,58.38,,8.91
BAJAJ-AUTO,7.72,7.39,7.7,11.33
ITC,7.48,8.64,8.52,8.5
RELIANCE,7.47,11.83,10.74,14.37
WIPRO,7.46,6.03,7.57,9.21
TATAMOTORS,7.31,10.71,9.05,7.27
HINDUNILVR,7.27,8.97,8.13,17.15
TATACONSUM,6.86,8.39,5.95,11.06
GODREJCP,6.82,,,7.82
ADANIENT,6.82,14.35,10.37,4.13
NESTLEIND,6.69,9.51,9.07,4.82
HAL,6.69,9.05,0.2,8.64
M&M,6.48,10.04,9.21,10.61
COALINDIA,6.18,5.85,6.27,6.98
DABUR,6.07,7.18,7.93,10.94
BHARTIARTL,6.04,16.25,15.26,9.33
BOSCHLTD,5.86,6.69,7.26,7.36
SIEMENS,5.81,10.93,,8.65
TATAPOWER,5.56,34.74,,6.62
BPCL,5.21,17.74,18.92,8.47
HEROMOTOCO,4.28,6.34,6.36,10.13
IOC,4.26,9.61,8.52,6.42
TATASTEEL,4.21,,,5.55
NHPC,3.54,1.46,3.44,3.81
JSWENERGY,2.13,6.82,5.18,10.14
UNITDSPR,1.09,,,-2.64
DLF,-0.87,16.11,12.25,-0.27
BHEL,-5.18,-20.22,-21.41,-1.25
ADANIENSOL,,,,
