company_id,year,Operating Cash Ratio,Investment Ratio,Financing Ratio,Free Cash Flow Indicator,Cash Quality Score,Cashflow Rank
TATAPOWER,Mar 2014,540.25,-0.56,-0.5,2874.0,21670.0,1
JIOFIN,Mar 2023,66.29,-0.54,-0.43,945.0,2711.6000000000004,2
LODHA,Mar 2021,52.58,0.17,-1.12,2104.0,2163.2,3
JSWENERGY,Mar 2018,46.28,-0.05,-1.01,3719.0,1911.2,4
BANKBARODA,Mar 2018,32.51,0.01,-0.06,-60106.0,1300.3999999999999,5
HINDALCO,Mar 2015,27.58,-0.54,-0.34,3270.0,1163.1999999999998,6
CANBK,Mar 2019,26.2,-0.04,-0.06,17492.0,1108.0,7
LICI,Mar 2021,27.1,1.84,-3.18,-67845.0,1084.0,8
TATAPOWER,Mar 2013,26.72,-1.23,-0.18,-740.0,1068.8,9
SBIN,Mar 2018,25.74,-0.14,-0.06,-109561.0,1029.6,10
INDIGO,Mar 2019,20.26,-0.8,-0.19,634.0,870.4000000000001,11
LICI,Mar 2020,20.06,-0.74,-0.34,13952.0,862.4,12
CANBK,Mar 2021,19.99,-0.02,0.0,58002.0,859.5999999999999,13
BANKBARODA,Mar 2020,18.89,-0.01,0.79,18392.0,815.6,14
AXISBANK,Mar 2020,18.69,-0.31,0.29,20931.0,807.6,15
PNB,Mar 2017,17.71,0.01,-0.45,21779.0,768.4000000000001,16
TATASTEEL,Mar 2020,17.18,-0.69,-0.08,6157.0,747.2,17
SBILIFE,Mar 2021,16.4,-0.8,0.0,4675.0,716.0,18
INDUSINDBK,Mar 2021,15.74,-0.01,-0.09,44420.0,689.6,19
VBL,Dec 2016,17.21,-1.27,0.28,-222.0,688.4000000000001,20
SBILIFE,Mar 2023,16.65,-1.05,-0.01,-1547.0,666.0,21
SBILIFE,Mar 2022,14.51,-0.99,-0.01,241.0,640.4,22
SBILIFE,Mar 2024,15.38,-1.07,-0.01,-2099.0,615.2,23
BHARTIARTL,Mar 2018,13.67,-0.94,0.06,1914.0,606.8,24
SBILIFE,Mar 2020,13.57,-0.88,-0.01,2313.0,602.8,25
TATAMOTORS,Mar 2023,13.16,-0.44,-0.74,19971.0,586.4,26
TATAPOWER,Mar 2015,13.09,-0.65,-0.37,2116.0,583.6,27
PNB,Mar 2021,11.48,-0.03,0.17,30163.0,519.2,28
BHARTIARTL,Mar 2019,11.89,-1.41,0.47,-8216.0,475.6,29
M&M,Mar 2021,11.84,-1.1,0.02,-1777.0,473.6,30
ICICIPRULI,Mar 2019,9.99,-0.66,-0.07,3818.0,459.6,31
BHARTIARTL,Mar 2013,9.97,-0.83,-0.2,3932.0,458.8,32
VBL,Dec 2012,11.2,-1.81,0.82,-227.0,448.0,33
DLF,Mar 2016,9.7,-0.28,-0.65,2139.0,448.0,33
BANKBARODA,Mar 2017,9.63,-0.03,-0.01,17314.0,445.20000000000005,34
ADANIPOWER,Mar 2016,9.54,-0.51,-0.52,2565.0,441.59999999999997,35
IOC,Mar 2015,9.46,-0.22,-0.83,35877.0,438.40000000000003,36
TATAPOWER,Mar 2016,9.43,-0.24,-0.83,5610.0,437.2,37
APOLLOHOSP,Mar 2021,9.23,-0.7,-0.27,385.0,429.20000000000005,38
BHARTIARTL,Mar 2024,9.22,-0.65,-0.35,27809.0,428.8,39
SBILIFE,Mar 2018,9.04,-0.86,-0.02,1485.0,421.59999999999997,40
APOLLOHOSP,Mar 2018,8.95,-0.75,-0.2,132.0,418.0,41
SBIN,Mar 2019,8.82,0.01,0.02,29336.0,412.8,42
AXISBANK,Mar 2017,8.75,-0.39,-0.08,19751.0,410.0,43
BHARTIARTL,Mar 2014,8.69,-0.96,0.11,1052.0,407.59999999999997,44
SBILIFE,Mar 2019,10.15,-1.01,-0.02,-79.0,406.0,45
ICICIBANK,Mar 2019,8.56,-0.62,-0.41,18389.0,402.40000000000003,46
BANKBARODA,Mar 2014,8.39,-0.02,0.12,41503.0,395.6,47
AXISBANK,Mar 2019,7.94,-0.5,0.15,18451.0,377.6,48
ABB,Mar 2017,7.9,-0.79,-0.21,459.0,376.0,49
ABB,Mar 2020,9.17,-1.04,0.23,-206.0,366.8,50
ICICIPRULI,Mar 2021,7.65,-0.7,0.16,2230.0,366.0,51
ADANIGREEN,Mar 2023,7.47,-0.53,-0.41,3408.0,358.8,52
SBILIFE,Mar 2017,8.93,-1.06,-0.02,-507.0,357.2,53
ADANIGREEN,Mar 2021,8.8,-5.71,4.42,-7536.0,352.0,54
ADANIENT,Mar 2023,7.28,-0.88,-0.07,2167.0,351.2,55
UNIONBANK,Mar 2021,7.17,-0.03,-0.92,19926.0,346.8,56
HDFCLIFE,Mar 2021,7.13,-0.92,0.07,751.0,345.2,57
ICICIBANK,Mar 2020,7.09,-0.53,0.04,37470.0,343.6,58
HDFCLIFE,Mar 2017,7.02,-0.83,-0.04,1053.0,340.79999999999995,59
UNITDSPR,Mar 2017,6.96,-0.35,-0.73,420.0,338.4,60
HDFCLIFE,Mar 2016,6.96,-0.7,-0.04,1725.0,338.4,60
UNIONBANK,Mar 2022,6.9,-0.02,-0.02,35781.0,336.0,61
ICICIBANK,Mar 2021,6.78,-0.46,-0.4,74384.0,331.2,62
HINDALCO,Mar 2017,6.74,-0.23,-0.44,9811.0,329.6,63
PNB,Mar 2023,6.73,-0.03,0.06,21860.0,329.20000000000005,64
BHARTIARTL,Mar 2022,6.62,-0.75,-0.28,13539.0,324.8,65
ICICIPRULI,Mar 2020,8.06,-1.26,-0.05,-2201.0,322.40000000000003,66
