company_id,year,sales,net_profit,operating_profit,equity_capital,borrowings,total_assets,operating_activity,net_profit_margin,operating_profit_margin,roe,debt_to_equity,asset_turnover,interest_coverage,cashflow_to_profit,financial_health_score,company_rank
INDIGO,Mar 2013,9203,787,8348.0,0.4,11,26,1741.0,8.55,90.71,17886.36,2.5,353.96,28.2,2.21,10683.09,1
INDIGO,Mar 2014,11117,474,10684.0,0.4,14,35,1595.0,4.26,96.11,10772.73,3.18,317.63,27.32,3.36,8000.66,2
BEL,Mar 2015,7093,1197,1179.0,2.0,26,49,1434.0,16.88,16.62,17100.0,3.71,144.76,168.43,1.2,7290.39,3
BEL,Mar 2013,6273,911,669.0,2.0,24,45,-1539.0,14.52,10.66,15183.33,4.0,139.4,95.57,-1.69,6631.76,4
BEL,Mar 2014,6518,952,925.0,2.0,21,46,-569.0,14.61,14.19,13600.0,3.0,141.7,132.14,-0.6,6196.99,5
BEL,Mar 2016,7354,1337,1393.0,9.0,25,52,2260.0,18.18,18.94,11141.67,2.08,141.42,139.3,1.69,5461.73,6
INDIGO,Mar 2015,13925,1304,12022.0,0.4,4,61,2384.0,9.36,86.33,4939.39,0.15,228.28,30.44,1.83,4924.87,7
BEL,Mar 2017,8656,1523,1792.0,9.0,29,77,-61.0,17.59,20.7,10153.33,1.93,112.42,99.56,-0.04,4731.19,8
BEL,Mar 2024,20268,3985,5051.0,11.0,43,161,4659.0,19.66,24.92,4744.05,0.51,125.89,420.92,1.17,3318.91,9
BEL,Mar 2023,17734,2986,4090.0,11.0,39,144,1199.0,16.84,23.06,3981.33,0.52,123.15,215.26,0.4,3047.87,10
HAL,Mar 2022,24620,5086,5420.0,5.0,12,202,10180.0,20.66,22.01,3324.18,0.08,121.88,83.38,2.0,2834.62,11
BEL,Mar 2018,10401,1431,2039.0,10.0,48,121,-687.0,13.76,19.6,4616.13,1.55,85.96,339.83,-0.48,2673.85,12
BEL,Mar 2019,12164,1887,2909.0,11.0,47,126,1514.0,15.51,23.91,3851.02,0.96,96.54,181.81,0.8,2607.27,13
BEL,Mar 2020,12968,1825,2759.0,11.0,44,122,2570.0,14.07,21.28,3318.18,0.8,106.3,344.88,1.41,2593.73,14
HAL,Mar 2021,22882,3239,5341.0,5.0,6,186,15124.0,14.16,23.34,2249.31,0.04,123.02,20.0,4.67,2528.1,15
HAL,Mar 2020,21445,2842,4880.0,5.0,2,173,1537.0,13.25,22.76,2059.42,0.01,123.96,13.59,0.54,2485.04,16
HAL,Mar 2023,26928,5811,6669.0,5.0,47,271,8836.0,21.58,24.77,3283.05,0.27,99.37,104.2,1.52,2484.46,17
BEL,Mar 2021,14109,2100,3214.0,11.0,49,152,5093.0,14.88,22.78,3559.32,0.83,92.82,321.4,2.43,2464.22,18
BEL,Mar 2022,15368,2400,3344.0,11.0,58,163,4207.0,15.62,21.76,3478.26,0.84,94.28,371.56,1.75,2461.74,19
HAL,Mar 2019,20008,2346,4569.0,5.0,8,175,-7694.0,11.73,22.84,1763.91,0.06,114.33,25.81,-3.28,2251.32,20
HAL,Mar 2017,17950,2616,3236.0,5.0,2,170,-423.0,14.57,18.03,1966.92,0.02,105.59,202.25,-0.16,2181.07,21
HAL,Mar 2024,30381,7595,9749.0,5.0,123,450,8226.0,25.0,32.09,3816.58,0.62,67.51,226.72,1.08,2167.19,22
HAL,Mar 2018,18519,1987,3460.0,5.0,3,166,-734.0,10.73,18.68,1528.46,0.02,111.56,98.86,-0.37,2138.26,23
HAL,Mar 2016,16758,1998,2478.0,5.0,18,176,0.0,11.92,14.79,1665.0,0.15,95.22,413.0,0.0,1932.99,24
INDIGO,Mar 2018,23021,2242,19991.0,29.0,54,279,3903.0,9.74,86.84,2242.0,0.54,82.51,21.11,1.74,1927.35,25
INDIGO,Mar 2016,16140,1986,12976.0,0.4,8,196,3116.0,12.3,80.4,1534.78,0.06,82.35,25.2,1.57,1714.54,26
INDIGO,Mar 2017,18580,1659,16362.0,29.0,52,246,3782.0,8.93,88.06,1692.86,0.53,75.53,20.74,2.28,1658.0,27
INDIGO,Mar 2020,35756,-248,31687.0,29.0,75,422,6943.0,-0.69,88.62,-138.55,0.42,84.73,20.7,-28.0,1244.84,28
INDIGO,Mar 2019,28497,156,28648.0,29.0,88,373,3160.0,0.55,100.53,120.93,0.68,76.4,21.62,20.26,1199.12,29
INDIGO,Mar 2024,68904,8167,52573.0,48.0,17,1222,21183.0,11.85,76.3,892.57,0.02,56.39,22.6,2.59,1131.74,30
INDIGO,Mar 2023,54446,-317,47926.0,48.0,12,1062,12703.0,-0.58,88.02,-40.8,0.02,51.27,33.49,-40.07,774.17,31
LT,Mar 2013,74426,5291,11394.0,16.0,234,2328,-4355.0,7.11,15.31,395.15,0.17,31.97,2.45,-0.82,602.08,32
LT,Mar 2014,85054,4885,14086.0,16.0,110,2666,-7143.0,5.74,16.56,303.42,0.07,31.9,2.17,-1.46,573.92,33
LT,Mar 2016,101122,4592,15486.0,17.0,55,3137,-3240.0,4.54,15.31,216.09,0.03,32.24,2.24,-0.71,552.47,34
LT,Mar 2015,91929,4966,15684.0,16.0,218,2978,-1365.0,5.4,17.06,245.11,0.11,30.87,2.16,-0.27,540.8,35
LT,Mar 2017,109312,6486,16620.0,17.0,0,4417,6655.0,5.93,15.2,206.3,0.0,24.75,2.43,1.03,437.66,36
INDIGO,Mar 2022,25931,-317,25373.0,48.0,12,920,2064.0,-1.22,97.85,-48.77,0.02,28.19,35.0,-6.51,427.38,37
LT,Mar 2018,119683,8004,20111.0,17.0,0,5337,-10031.0,6.69,16.8,207.36,0.0,22.43,2.61,-1.25,403.69,38
LT,Mar 2019,135220,10217,22866.0,17.0,0,6664,-4756.0,7.56,16.91,208.81,0.0,20.29,2.45,-0.47,372.26,39
