company_id,company_name,peer_group_name,company_name_financial,year,ROE,ROCE,NPM,Operating Profit Margin,Debt Equity,Interest Coverage,Dividend Yield,FCF,FCF CAGR 5yr,PAT CAGR 5yr,Revenue CAGR 5yr,EPS CAGR 5yr,Asset Turnover,Revenue,Net Profit,EPS,Market Cap,Total Assets,Cashflow to Profit,Composite Score,ROE Percentile Rank,ROCE Percentile Rank,NPM Percentile Rank,Debt Equity Percentile Rank,FCF CAGR 5yr Percentile Rank,PAT CAGR 5yr Percentile Rank,Revenue CAGR 5yr Percentile Rank,EPS CAGR 5yr Percentile Rank,Interest Coverage Percentile Rank,Asset Turnover Percentile Rank
MARUTI,MARUTI,Automobiles,MARUTI,Mar 2024,15.75,,9.51,13.13,0.0,96.01,,,,,,,1.23,141858.0,13488.0,,,115304.0,1.25,,14.29,,57.14,100.0,,,,,85.71,85.71
TATAMOTORS,TATAMOTORS,Automobiles,TATAMOTORS,Mar 2024,37.46,,7.26,13.6,1.26,5.96,,,,,,,1.19,437928.0,31807.0,,,369521.0,2.14,,100.0,,28.57,42.86,,,,,42.86,71.43
M&M,M&M,Automobiles,M&M,Mar 2024,18.54,,8.82,17.9,1.64,3.32,,,,,,,0.59,139078.0,12270.0,,,234722.0,-0.46,,28.57,,42.86,28.57,,,,,28.57,14.29
BAJAJ-AUTO,BAJAJ-AUTO,Automobiles,BAJAJ-AUTO,Mar 2024,26.61,,17.18,19.53,0.07,146.08,,,,,,,1.14,44870.0,7708.0,,,39344.0,0.85,,85.71,,85.71,57.14,,,,,100.0,57.14
EICHERMOT,EICHERMOT,Automobiles,EICHERMOT,Mar 2024,22.17,,24.2,26.18,0.02,84.88,,,,,,,0.72,16536.0,4001.0,,,23115.0,0.93,,57.14,,100.0,85.71,,,,,71.43,28.57
HEROMOTOCO,HEROMOTOCO,Automobiles,HEROMOTOCO,Mar 2024,21.14,,9.9,86.15,0.03,47.25,,,,,,,1.44,37789.0,3742.0,,,26153.0,1.32,,42.86,,71.43,71.43,,,,,57.14,100.0
TVSMOTOR,TVSMOTOR,Automobiles,TVSMOTOR,Mar 2024,26.22,,4.54,14.05,3.83,2.85,,,,,,,0.93,39145.0,1779.0,,,42024.0,-0.7,,71.43,,14.29,14.29,,,,,14.29,42.86
BAJFINANCE,BAJFINANCE,Consumer Finance,BAJFINANCE,Mar 2024,18.84,,26.29,29.29,3.82,2683.17,,,,,,,0.15,54972.0,14451.0,,,375742.0,-5.03,,100.0,,100.0,100.0,,,,,100.0,83.33
CHOLAFIN,CHOLAFIN,Consumer Finance,CHOLAFIN,Mar 2024,17.46,,17.85,28.1,6.86,21.12,,,,,,,0.12,19163.0,3420.0,,,156686.0,-10.43,,66.67,,33.33,33.33,,,,,66.67,33.33
SHRIRAMFIN,SHRIRAMFIN,Consumer Finance,SHRIRAMFIN,Mar 2024,15.12,,20.33,28.92,3.99,0.68,,,,,,,0.15,36388.0,7399.0,,,248266.0,-4.2,,33.33,,66.67,66.67,,,,,33.33,83.33
